GeneId,Chr,Start,End,Strand,Length,Cp1,Cp2,Cp3,Cm1,Cm2,Cm3,WT1,WT2,WT3,dL1,dL3
yaaJ_RBAM_000230,NC_009725.1,26893,27375,+,483,12,24,16,10,24,34,34,76,25,3,23
RBAM_000240,NC_009725.1,27440,27756,+,317,2379,3895,1756,2366,3172,3368,6255,11379,3719,2305,4290
dnaX_RBAM_000250,NC_009725.1,27858,29549,+,1692,663,1053,1084,537,791,1102,766,1433,900,547,1082
yaaK_RBAM_000260,NC_009725.1,29568,29897,+,330,1224,1394,1676,763,1090,1749,1304,2688,1365,726,1664
recR_RBAM_000270,NC_009725.1,29912,30508,+,597,408,480,835,361,435,580,472,853,496,435,570
yaaL_RBAM_000280,NC_009725.1,30527,30751,+,225,213,282,431,250,269,297,246,373,243,284,275
bofA_RBAM_000290,NC_009725.1,30812,31075,+,264,3,4,8,1,4,9,14,20,5,0,5
csfB_RBAM_000330,NC_009725.1,36321,36515,+,195,6,9,1,3,4,8,20,23,9,1,15
xpaC_RBAM_000340,NC_009725.1,36663,37277,+,615,388,552,540,441,492,402,402,481,481,312,613
yaaN_RBAM_000350,NC_009725.1,37293,38411,+,1119,362,524,640,374,500,689,518,689,535,206,584
yaaO_RBAM_000360,NC_009725.1,38489,39922,+,1434,205,155,172,148,185,294,280,523,152,119,206
tmk_RBAM_000370,NC_009725.1,39919,40557,+,639,145,187,205,96,157,187,88,309,145,60,147
yaaQ_RBAM_000380,NC_009725.1,40628,40957,+,330,358,348,359,296,363,398,206,563,280,118,290
yaaR_RBAM_000390,NC_009725.1,40970,41410,+,441,592,912,702,567,640,750,692,965,748,271,715
holB_RBAM_000400,NC_009725.1,41422,42411,+,990,1564,1572,1533,981,1333,2051,1306,2406,1396,483,1573
yaaT_RBAM_000410,NC_009725.1,42414,43241,+,828,667,824,1174,573,654,1165,820,1557,772,446,785
yabA_RBAM_000420,NC_009725.1,43256,43615,+,360,769,663,1094,564,668,1169,855,1442,780,509,869
yabB_RBAM_000430,NC_009725.1,43676,44419,+,744,34,28,26,15,22,35,14,32,27,7,19
yazA_RBAM_000440,NC_009725.1,44406,44705,+,300,49,33,65,26,32,44,19,59,39,38,36
yabC_RBAM_000450,NC_009725.1,44680,45561,+,882,186,161,336,178,208,369,227,400,228,94,284
abrB_RBAM_000460,NC_009725.1,45611,45895,-,285,3481,1550,1564,2031,2194,3313,3481,3152,3981,569,3811
metS_RBAM_000470,NC_009725.1,46385,48376,+,1992,2848,4964,3777,3007,3603,3157,3251,3035,3632,2329,3877
yabD_RBAM_000480,NC_009725.1,48449,49219,+,771,199,316,184,225,247,254,287,302,301,128,308
yabE_RBAM_000490,NC_009725.1,49318,50679,+,1362,855,1095,2134,913,1357,2494,1205,2740,1509,565,1813
rnmV_RBAM_000500,NC_009725.1,50814,51377,+,564,145,181,158,117,130,198,142,303,161,61,163
ksgA_RBAM_000510,NC_009725.1,51367,52248,+,882,303,425,389,397,409,647,512,643,404,103,520
yabG_RBAM_000520,NC_009725.1,52421,53296,+,876,4,6,9,2,6,12,6,11,4,3,4
veg_RBAM_000530,NC_009725.1,53508,53768,+,261,2399,1775,1589,1366,1504,2748,4134,2957,2493,746,3020
sspF_RBAM_000540,NC_009725.1,53931,54119,+,189,13,6,16,7,6,18,37,30,8,3,9
ipk_RBAM_000550,NC_009725.1,54263,55132,+,870,94,209,119,64,128,165,183,408,142,42,151
purR_RBAM_000560,NC_009725.1,55188,56045,+,858,305,608,421,376,437,450,617,724,449,177,459
yabJ_RBAM_000570,NC_009725.1,56042,56422,+,381,455,745,607,383,509,706,694,796,670,91,626
spoVG_RBAM_000580,NC_009725.1,56618,56911,+,294,2394,2407,2255,1197,2013,3381,3410,4410,3104,592,3217
glmU_RBAM_000590,NC_009725.1,57103,58473,+,1371,1613,2518,2670,1398,1888,2390,1591,2571,2054,865,1944
prs_RBAM_000600,NC_009725.1,58495,59448,+,954,746,1249,1723,1155,1458,1812,1339,1814,1673,657,1661
ctc_RBAM_000610,NC_009725.1,59533,60141,+,609,12545,15546,6633,13018,13304,10174,18926,8827,17364,8955,18842
spoVC_RBAM_000620,NC_009725.1,60226,60792,+,567,360,391,243,356,390,452,527,668,458,141,508
yabK_RBAM_000630,NC_009725.1,60854,61084,+,231,253,121,151,219,295,357,326,330,279,61,333
mfd_RBAM_000640,NC_009725.1,61154,64687,+,3534,538,776,545,463,638,541,674,665,645,283,718
spoVT_RBAM_000650,NC_009725.1,64824,65360,+,537,385,674,508,328,387,538,520,588,507,190,565
yabM_RBAM_000660,NC_009725.1,65529,67109,+,1581,173,530,146,222,284,289,671,507,262,339,419
yabN_RBAM_000670,NC_009725.1,67099,68574,+,1476,754,894,672,289,373,382,390,552,425,298,470
yabO_RBAM_000680,NC_009725.1,68576,68836,+,261,203,199,232,100,154,146,148,177,162,71,141
yabP_RBAM_000690,NC_009725.1,68915,69217,+,303,101,144,126,33,69,68,90,127,52,18,62
yabQ_RBAM_000700,NC_009725.1,69214,69849,+,636,1092,1349,1214,575,815,1371,799,1829,818,311,1012
divIC_RBAM_000710,NC_009725.1,69867,70244,+,378,2649,3283,3198,1327,1842,3461,1690,4250,2037,1132,2353
yabR_RBAM_000720,NC_009725.1,70325,70711,+,387,4135,3945,4791,3043,3766,7059,3633,6666,4264,1116,4817
spoIIE_RBAM_000750,NC_009725.1,71237,73726,+,2490,22,32,29,18,23,29,35,75,31,10,20
yabS_RBAM_000760,NC_009725.1,73794,74531,+,738,20,40,23,18,30,30,48,50,37,46,30
yabT_RBAM_000770,NC_009725.1,74497,75498,+,1002,34,82,11,42,70,28,71,50,82,9,128
yacA_RBAM_000780,NC_009725.1,75603,77021,+,1419,282,369,359,282,345,482,405,955,379,159,430
hprT_RBAM_000790,NC_009725.1,77018,77557,+,540,165,188,256,119,155,299,192,543,151,61,175
ftsH_RBAM_000800,NC_009725.1,77655,79574,+,1920,1093,1394,1670,1028,1474,2036,2161,3097,1951,379,2008
yacB_RBAM_000810,NC_009725.1,79723,80499,+,777,59,106,61,105,135,105,174,213,142,68,178
hslO_RBAM_000820,NC_009725.1,80510,81385,+,876,513,474,581,707,673,628,878,854,677,772,834
yacD_RBAM_000830,NC_009725.1,81431,82321,+,891,287,304,431,293,347,495,374,721,383,262,456
cysK_RBAM_000840,NC_009725.1,82397,83323,+,927,308,461,459,634,661,653,1088,1497,665,245,770
pabB_RBAM_000850,NC_009725.1,83488,84903,+,1416,485,786,779,423,565,909,866,1332,598,738,764
pabA_RBAM_000860,NC_009725.1,84919,85506,+,588,301,426,481,349,380,633,716,892,443,446,578
pabC_RBAM_000870,NC_009725.1,85503,86387,+,885,241,375,333,237,305,385,413,596,298,245,369
sul_RBAM_000880,NC_009725.1,86368,87225,+,858,148,223,162,153,212,205,275,336,190,64,176
folA_RBAM_000890,NC_009725.1,87218,87580,+,363,159,298,192,287,308,300,381,350,263,96,305
folK_RBAM_000900,NC_009725.1,87577,88080,+,504,334,515,396,396,445,536,614,693,537,216,565
yacF_RBAM_000910,NC_009725.1,88263,89264,+,1002,2609,2869,3611,3141,3348,4485,3638,4639,3260,1687,3866
lysS_RBAM_000920,NC_009725.1,89354,90853,+,1500,1074,1551,1559,973,1166,1185,1233,1215,1362,700,1479
ctsR_RBAM_001080,NC_009725.1,102172,102636,+,465,528,864,173,810,1036,432,1215,654,1280,357,1583
mcsA_RBAM_001090,NC_009725.1,102650,103207,+,558,784,1172,281,650,887,431,1016,500,1146,599,1234
mcsB_RBAM_001100,NC_009725.1,103207,104298,+,1092,578,697,288,370,464,393,527,622,486,252,576
clpC_RBAM_001110,NC_009725.1,104295,106727,+,2433,3954,4170,2569,3261,3775,3741,5005,4437,4864,2104,5267
radA_RBAM_001120,NC_009725.1,106822,108201,+,1380,243,320,214,217,271,316,439,599,291,232,308
yacK_RBAM_001130,NC_009725.1,108205,109287,+,1083,1081,874,822,1157,1238,1424,1345,1554,1172,1146,1579
yacL_RBAM_001140,NC_009725.1,109401,110501,+,1101,834,2331,597,749,1195,1168,1838,1526,1559,416,1919
ispD_RBAM_001150,NC_009725.1,110514,111212,+,699,321,527,239,246,282,393,660,652,397,142,438
ispF_RBAM_001160,NC_009725.1,111205,111681,+,477,216,214,220,98,142,182,91,193,124,82,133
gltX_RBAM_001170,NC_009725.1,111773,113224,+,1452,3034,4464,4321,3086,3941,4952,4670,5703,4804,2143,5010
cysE_RBAM_001180,NC_009725.1,113535,114188,+,654,97,129,49,123,127,93,151,157,105,94,161
cysS_RBAM_001190,NC_009725.1,114185,115585,+,1401,814,913,824,647,695,530,644,485,643,528,802
yazC_RBAM_001200,NC_009725.1,115590,116021,+,432,56,47,58,35,46,45,43,35,36,37,51
yacO_RBAM_001210,NC_009725.1,116005,116754,+,750,81,102,95,43,58,68,81,92,47,63,73
yacP_RBAM_001220,NC_009725.1,116761,117273,+,513,125,180,115,76,78,85,169,161,89,94,112
sigH_RBAM_001230,NC_009725.1,117336,117992,+,657,2492,3254,5002,3963,4846,7821,4345,6941,5038,1771,5178
rpmG_RBAM_001240,NC_009725.1,118078,118227,+,150,1876,1637,2442,2235,2723,5168,2772,4400,3428,619,3484
secE_RBAM_001250,NC_009725.1,118260,118439,+,180,865,685,1083,836,1161,2750,1284,2368,1638,149,1635
nusG_RBAM_001260,NC_009725.1,118606,119139,+,534,325,413,426,365,448,589,434,809,474,186,453
rplK_RBAM_001270,NC_009725.1,119307,119732,+,426,1703,1823,1811,2019,2236,3430,3295,4036,2945,291,2665
rplA_RBAM_001280,NC_009725.1,119827,120525,+,699,1443,1799,1930,1744,2026,2530,2483,2646,2554,345,1996
rplJ_RBAM_001290,NC_009725.1,120780,121280,+,501,4427,6455,5703,4385,4814,5579,5671,5468,5973,1606,5269
rplL_RBAM_001300,NC_009725.1,121322,121693,+,372,5153,7017,5592,4919,5397,6431,7386,6932,6813,2078,6120
ybxB_RBAM_001310,NC_009725.1,121785,122390,+,606,64,109,107,132,105,165,145,143,150,53,126
rpoB_RBAM_001320,NC_009725.1,122626,126216,+,3591,4118,4193,4268,4079,4735,5664,5646,5536,5740,2152,6232
rpoC_RBAM_001330,NC_009725.1,126279,129878,+,3600,3039,4316,3428,2891,3431,3666,4563,3856,4255,1337,4474
ybxF_RBAM_001340,NC_009725.1,130047,130295,+,249,1044,916,1516,603,746,1617,1155,2314,1076,509,1194
rpsL_RBAM_001350,NC_009725.1,130411,130827,+,417,1225,845,1328,1084,1397,1317,1135,1628,1159,609,1320
rpsG_RBAM_001360,NC_009725.1,130867,131337,+,471,2360,1594,2103,2673,3253,2834,2712,2365,3680,1237,3789
fusA_RBAM_001370,NC_009725.1,131390,133468,+,2079,8451,11587,11252,9729,12666,10628,10980,8391,14482,4368,12490
tufA_RBAM_001380,NC_009725.1,133588,134778,+,1191,21572,27544,23721,21851,27281,28027,29827,27305,31697,8844,30458
ybaC_RBAM_001390,NC_009725.1,134882,135847,+,966,12,26,23,18,26,18,21,32,23,12,16
rpsJ_RBAM_001400,NC_009725.1,136096,136404,+,309,3941,2921,3488,3019,3625,4029,3455,4104,4423,1123,4614
rplC_RBAM_001410,NC_009725.1,136444,137073,+,630,6011,6201,6046,5011,6578,5804,5950,5669,8306,2116,7921
rplD_RBAM_001420,NC_009725.1,137101,137724,+,624,3889,3465,4493,3389,4304,3466,3549,2726,5238,1724,4980
rplW_RBAM_001430,NC_009725.1,137724,138011,+,288,3695,3385,3965,3079,3948,2626,2317,2014,3924,1626,3761
rplB_RBAM_001440,NC_009725.1,138043,138876,+,834,3398,3391,3575,2911,3775,3188,3205,2712,4164,1302,4064
rpsS_RBAM_001450,NC_009725.1,138934,139212,+,279,1869,1455,1734,1822,1775,1539,1767,1384,2051,1323,2064
rplV_RBAM_001460,NC_009725.1,139229,139570,+,342,1443,1531,1684,1531,1564,1467,1678,1246,1831,936,1774
rpsC_RBAM_001470,NC_009725.1,139574,140230,+,657,1797,1812,1839,2361,2208,2191,2804,2169,2514,1110,2649
rplP_RBAM_001480,NC_009725.1,140232,140666,+,435,1058,1117,1258,1151,1186,936,1321,917,1332,470,1178
rpmC_RBAM_001490,NC_009725.1,140656,140856,+,201,1360,1122,1701,1201,1289,992,916,662,1379,939,1135
rpsQ_RBAM_001500,NC_009725.1,140879,141142,+,264,1929,1419,2056,1903,1953,1408,1315,1055,1766,1456,1744
rplN_RBAM_001510,NC_009725.1,141183,141551,+,369,2037,2035,1964,2024,2140,1587,1867,1379,2208,1144,2107
rplX_RBAM_001520,NC_009725.1,141588,141899,+,312,1896,1781,1706,1807,1981,1526,1959,1295,2310,706,2273
rplE_RBAM_001530,NC_009725.1,141926,142465,+,540,2102,2199,1960,1969,2222,1801,2233,1550,2700,840,2644
rpsN_RBAM_001540,NC_009725.1,142488,142673,+,186,1656,2183,1688,1639,1738,1550,2164,1494,2480,891,2441
rpsH_RBAM_001550,NC_009725.1,142705,143103,+,399,2260,2624,2040,2117,2205,1864,2335,1547,2905,578,2656
rplF_RBAM_001560,NC_009725.1,143134,143673,+,540,2851,4184,2617,2748,3188,2612,3992,2412,4231,1207,3886
rplR_RBAM_001570,NC_009725.1,143708,144070,+,363,1410,2014,1266,1412,1484,1015,1696,982,1696,603,1485
rpsE_RBAM_001580,NC_009725.1,144089,144595,+,507,1399,1893,1212,1540,1555,1135,2216,1272,1941,668,1668
rpmD_RBAM_001590,NC_009725.1,144609,144788,+,180,988,927,817,1181,1041,827,1420,894,1193,602,1200
rplO_RBAM_001600,NC_009725.1,144819,145259,+,441,1427,1714,1113,1466,1541,1275,2072,1536,1662,637,1558
secY_RBAM_001610,NC_009725.1,145261,146556,+,1296,1616,2599,1695,1612,1847,1811,3398,2491,2165,637,2006
adk_RBAM_001620,NC_009725.1,146608,147261,+,654,1304,1707,1449,1249,1383,1213,1943,1426,1761,619,1711
map_RBAM_001630,NC_009725.1,147258,148004,+,747,2541,3104,3209,2186,2695,2655,2315,2351,2543,994,2446
infA_RBAM_001640,NC_009725.1,148329,148547,+,219,2579,2408,2990,2428,2744,2370,1951,1754,2565,1597,2573
rpmJ_RBAM_001650,NC_009725.1,148581,148694,+,114,1639,871,1190,1804,1837,1453,1257,1076,1541,500,1692
rpsM_RBAM_001660,NC_009725.1,148717,149082,+,366,2235,2041,1905,3112,3032,2399,2977,2007,2934,945,3202
rpsK_RBAM_001670,NC_009725.1,149103,149498,+,396,1145,1293,1019,1366,1612,1248,1801,977,1922,364,1632
rpoA_RBAM_001680,NC_009725.1,149675,150619,+,945,6122,7223,7418,5740,6858,5991,6014,5234,7270,4037,6920
rplQ_RBAM_001690,NC_009725.1,150697,151059,+,363,2298,2298,2542,2389,2605,2295,2582,2235,2430,1957,2669
cbiO_RBAM_001700,NC_009725.1,151191,152036,+,846,131,200,164,106,130,114,101,120,112,82,130
cbiO_RBAM_001710,NC_009725.1,152051,152881,+,831,76,97,63,46,45,52,60,80,44,37,49
ybaF_RBAM_001720,NC_009725.1,152878,153675,+,798,66,104,105,46,43,43,68,90,45,46,34
truA_RBAM_001730,NC_009725.1,153688,154431,+,744,168,215,185,75,118,130,96,185,109,37,108
rplM_RBAM_001740,NC_009725.1,154591,155028,+,438,9520,7855,11688,10505,11200,13782,11286,12313,11370,6147,11981
rpsI_RBAM_001750,NC_009725.1,155049,155441,+,393,7904,7668,9324,8097,9483,11663,11184,10490,10267,4778,10310
ybaJ_RBAM_001760,NC_009725.1,155579,156346,+,768,634,1233,1297,396,586,2073,797,2413,792,115,729
yizA_RBAM_001770,NC_009725.1,156360,156833,-,474,187,365,181,160,262,284,304,380,303,87,322
ybaK_RBAM_001780,NC_009725.1,156964,157407,+,444,1,2,1,5,5,6,5,17,5,0,6
cwlD_RBAM_001790,NC_009725.1,157468,158181,+,714,6,0,3,6,13,9,11,15,12,8,4
ybaL_RBAM_001800,NC_009725.1,158261,159313,+,1053,271,623,396,239,329,514,1089,2096,512,297,418
gerD_RBAM_001810,NC_009725.1,159346,159903,-,558,21,22,14,12,20,35,14,15,15,3,20
kbaA_RBAM_001820,NC_009725.1,160011,160607,+,597,309,627,268,381,462,587,738,889,369,281,427
ybaN_RBAM_001830,NC_009725.1,160608,161372,-,765,13,1,0,34,52,15,26,33,24,22,19
RBAM_001960,NC_009725.1,167427,168182,+,756,1170,356,615,399,417,1259,623,1081,1087,181,1322
RBAM_t01,NC_009725.1,168279,168355,+,77,51,29,20,23,38,39,50,145,39,4,54
glcP1_RBAM_002030,NC_009725.1,176901,178115,-,1215,776,1298,1303,714,1034,1626,1429,1876,1140,345,1051
gabT1_RBAM_002040,NC_009725.1,178332,179609,+,1278,2801,3477,2908,3023,3712,4529,6345,6472,5674,1524,6339
yktc1_RBAM_002050,NC_009725.1,179606,180556,+,951,266,593,591,667,754,818,1544,1755,971,661,882
gutB1_RBAM_002060,NC_009725.1,180531,181577,+,1047,2163,3327,2751,2810,3204,3216,5010,4645,3579,2309,3752
ybaR_RBAM_002070,NC_009725.1,181938,183242,+,1305,170,442,264,223,237,358,463,509,270,106,281
ybaS_RBAM_002080,NC_009725.1,183351,184334,+,984,42,96,48,64,85,93,162,311,69,27,98
ybaA_RBAM_002090,NC_009725.1,184323,184955,-,633,45,68,47,77,75,128,138,220,62,17,83
feuC_RBAM_002100,NC_009725.1,185072,186094,-,1023,11,54,21,23,43,73,61,162,26,12,35
feuB_RBAM_002110,NC_009725.1,186084,187091,-,1008,446,434,510,1211,1297,1097,947,1039,980,1117,1409
feuA_RBAM_002120,NC_009725.1,187111,188067,-,957,1266,1422,1506,3087,3908,3020,2772,3077,3418,2519,4366
ybbB_RBAM_002130,NC_009725.1,188155,189750,-,1596,109,116,215,223,304,384,183,342,280,185,401
ybbC_RBAM_002140,NC_009725.1,189888,191132,-,1245,104,111,79,268,282,273,301,262,266,188,446
ybbD_RBAM_002150,NC_009725.1,191148,193061,-,1914,71,47,77,174,168,153,176,143,170,93,222
ybbE_RBAM_002160,NC_009725.1,193108,194391,-,1284,44,41,33,117,110,128,214,199,112,62,169
ybbF_RBAM_002170,NC_009725.1,194410,195777,-,1368,47,41,47,111,149,111,185,188,162,59,172
murQ_RBAM_002180,NC_009725.1,195906,196835,-,930,390,502,583,1042,1073,815,1192,944,1114,584,1284
ybbJ_RBAM_002190,NC_009725.1,196935,197411,-,477,33,23,23,29,40,40,43,51,26,11,35
ybbK_RBAM_002200,NC_009725.1,197430,197882,-,453,75,131,87,72,101,130,95,182,82,38,103
sigW_RBAM_002260,NC_009725.1,198702,199265,+,564,539,735,609,384,593,645,851,1377,720,294,793
ybbM_RBAM_002270,NC_009725.1,199279,199905,+,627,625,753,879,643,793,956,1023,1431,773,581,906
ybbP_RBAM_002280,NC_009725.1,200071,200892,+,822,206,315,302,121,251,279,246,645,232,92,210
ybbR_RBAM_002290,NC_009725.1,200885,202324,+,1440,1134,1182,1473,1074,1185,1334,1630,2016,1428,1144,1611
glmM_RBAM_002300,NC_009725.1,202342,203688,+,1347,935,1558,1426,1238,1452,1624,2277,2235,1798,626,1752
RBAM_002310,NC_009725.1,203774,203974,+,201,212,250,240,160,217,639,574,1444,576,113,521
glmS_RBAM_002320,NC_009725.1,204120,205922,+,1803,4443,8072,5463,10516,12140,12955,21133,16499,16442,5539,16190
RBAM_002330,NC_009725.1,206567,207439,+,873,2014,2182,2052,720,1126,3384,1169,3649,1444,185,1538
RBAM_002340,NC_009725.1,207417,208070,+,654,611,555,554,692,777,1253,1153,1677,718,167,988
RBAM_002350,NC_009725.1,208173,208373,-,201,10,6,4,8,16,20,10,18,8,12,23
RBAM_002360,NC_009725.1,208417,208575,+,159,223,529,522,243,287,561,432,581,335,253,348
RBAM_002370,NC_009725.1,208858,208989,+,132,211,186,368,212,244,467,316,472,251,125,295
RBAM_002380,NC_009725.1,209089,209772,+,684,633,405,962,574,767,1281,644,1339,708,230,792
RBAM_002390,NC_009725.1,209769,210791,+,1023,429,363,970,366,485,1148,441,1139,646,180,689
RBAM_002400,NC_009725.1,211982,212746,+,765,225,213,509,266,341,524,253,446,267,234,312
RBAM_002410,NC_009725.1,212733,214661,+,1929,251,373,524,385,526,666,526,706,575,331,701
ybdO1_RBAM_002420,NC_009725.1,215120,215332,+,213,2,13,10,5,4,7,5,14,10,0,5
kdgR1_RBAM_002430,NC_009725.1,215385,216230,-,846,1911,2702,960,1868,2312,1554,2244,1486,2275,898,3054
yxaC_RBAM_002440,NC_009725.1,216341,217033,-,693,39,74,39,46,45,55,69,58,21,10,33
yxaD_RBAM_002450,NC_009725.1,217604,218035,+,432,121,135,105,74,80,115,80,121,52,53,87
ybxG_RBAM_002460,NC_009725.1,218460,219845,+,1386,29,64,39,33,56,65,120,163,44,27,61
yfnB_RBAM_002470,NC_009725.1,219938,220408,+,471,30,63,46,24,25,36,41,112,29,12,29
RBAM_002480,NC_009725.1,220661,221791,+,1131,37,55,63,33,49,61,80,124,58,18,46
RBAM_002490,NC_009725.1,221796,222440,+,645,129,167,192,97,118,178,153,199,160,29,174
yfiL_RBAM_002500,NC_009725.1,222581,223516,+,936,1,7,7,12,12,14,17,19,11,0,16
yfiM_RBAM_002510,NC_009725.1,223525,224712,+,1188,7,15,18,8,9,7,12,10,19,13,7
yfiN1_RBAM_002520,NC_009725.1,224709,225851,+,1143,6,32,12,9,7,12,9,13,7,5,9
RBAM_002530,NC_009725.1,225865,226044,+,180,2,4,1,4,0,1,2,4,2,0,1
yolA1_RBAM_002540,NC_009725.1,226148,226624,+,477,206,221,195,190,180,136,255,326,141,105,132
csgA_RBAM_002550,NC_009725.1,226702,226953,+,252,398,440,301,305,321,265,578,564,366,252,327
yqeB_RBAM_002560,NC_009725.1,227063,227761,+,699,11,19,13,8,16,17,30,45,13,3,8
ybyB_RBAM_002570,NC_009725.1,227807,228067,-,261,1982,2203,591,1959,2363,2077,3805,1871,3253,1035,4530
ybeC_RBAM_002580,NC_009725.1,228235,229872,+,1638,29,88,27,43,55,76,163,298,82,25,76
RBAM_002590,NC_009725.1,230404,231606,+,1203,98,69,156,56,66,185,50,169,68,16,93
glpQ_RBAM_002600,NC_009725.1,232111,232998,-,888,287,202,217,813,895,864,1576,1479,1227,290,1331
glpT_RBAM_002610,NC_009725.1,233094,234428,-,1335,74,127,73,226,262,333,612,872,343,162,316
ybeF_RBAM_002620,NC_009725.1,234763,235005,+,243,83,160,81,56,91,230,96,212,48,9,65
yoaI_RBAM_002630,NC_009725.1,235061,236182,-,1122,42,80,50,47,68,97,87,121,49,7,83
ybfE_RBAM_002640,NC_009725.1,236656,236982,-,327,211,190,310,161,177,688,185,594,209,25,286
ybfG_RBAM_002650,NC_009725.1,237154,239328,-,2175,410,490,348,235,325,682,472,940,346,134,482
RBAM_002660,NC_009725.1,239702,240145,+,444,417,366,748,531,572,948,555,908,483,148,546
RBAM_002670,NC_009725.1,240410,240880,+,471,6,21,13,8,17,13,13,29,7,5,9
RBAM_002680,NC_009725.1,240952,242022,+,1071,93,221,100,141,165,173,342,436,152,75,193
purT_RBAM_002690,NC_009725.1,242104,243258,+,1155,24,52,35,59,48,56,74,142,53,45,55
pssA_RBAM_002700,NC_009725.1,243736,244269,+,534,102,129,143,58,73,161,141,304,91,25,110
ybfM_RBAM_002710,NC_009725.1,244260,244748,+,489,88,116,146,48,52,214,119,286,94,26,103
psd_RBAM_002720,NC_009725.1,244741,245556,+,816,52,115,92,44,68,147,108,309,91,34,86
ybfN_RBAM_002730,NC_009725.1,245590,245874,+,285,13,16,16,14,16,26,33,46,12,8,17
ybfQ_RBAM_002740,NC_009725.1,245979,246947,+,969,1532,2200,2622,1739,2034,2421,2089,2683,2111,1375,2265
gltP_RBAM_002750,NC_009725.1,246983,248233,-,1251,34,67,24,105,115,124,176,172,71,21,133
ybgE_RBAM_002760,NC_009725.1,248600,249670,+,1071,41,35,11,19,27,20,29,28,19,15,18
ybgF_RBAM_002770,NC_009725.1,249711,251114,-,1404,30,41,33,28,38,55,82,115,33,15,41
mmuM_RBAM_002780,NC_009725.1,251228,252175,-,948,545,815,594,911,963,1238,1246,1532,983,382,1170
ybgH_RBAM_002790,NC_009725.1,252291,253727,-,1437,0,4,1,5,1,5,11,20,4,2,3
ybgJ_RBAM_002800,NC_009725.1,253752,254735,-,984,1,1,1,4,3,3,2,7,5,3,5
ycbA_RBAM_002810,NC_009725.1,255030,256271,+,1242,56,67,71,60,70,83,100,157,75,30,83
ycbB_RBAM_002820,NC_009725.1,256273,257220,+,948,40,48,46,55,70,81,87,174,73,32,71
RBAM_002830,NC_009725.1,257255,257461,+,207,28,48,38,39,35,58,81,119,41,38,46
rtpA_RBAM_002840,NC_009725.1,257807,258013,+,207,116,139,67,113,115,153,199,188,121,120,211
RBAM_002850,NC_009725.1,258129,258359,+,231,3,5,6,0,0,8,1,11,3,1,1
ydfM_RBAM_002860,NC_009725.1,258469,259362,-,894,26,37,29,13,29,96,36,100,37,17,45
ydfN_RBAM_002870,NC_009725.1,259790,260410,+,621,3,7,1,3,1,3,6,7,8,3,9
ydfO_RBAM_002880,NC_009725.1,260435,261373,+,939,5,32,6,21,33,18,37,14,39,39,51
ydfP_RBAM_002890,NC_009725.1,261504,261893,+,390,22,19,7,17,21,26,33,26,26,4,43
ydfQ_RBAM_002900,NC_009725.1,262073,262411,+,339,6,3,3,1,7,16,6,10,4,0,9
ycbP_RBAM_002910,NC_009725.1,262475,262858,-,384,34,118,13,56,76,69,174,64,88,17,109
cwlJ_RBAM_002920,NC_009725.1,263012,263440,+,429,0,0,3,0,2,5,6,6,2,1,1
phoD_RBAM_002930,NC_009725.1,263704,265455,+,1752,6,6,2,7,3,6,6,12,5,3,2
